X;Einloggen auf Plattform;Eingeben von Abfahrt- und Zielort;Eingeben der gewünschten Filteroptionen;Suchanfrage abbrechen;Auswählen der bevorzugten Routenkonfiguration;Buchen der ausgewählten Routenkonfiguration;Bezahlen;Checken der Filter;Auswählen der Mobilitätsdienstleister basierend auf Filtern;Suchen von Einzelverbindungen der Mobilitätsdienstleister;Sammeln der Teilstrecken-Ergebnisse;Sammeln von Gesamtstreckenverbindungen;Zusammensetzen von Routenkonfigurationen;Sammeln möglicher Routenkonfigurationen;Checken des Reiseprofils des Nutzenden;Treffen der Vorauswahl  basierend auf Reiseprofil;Anzeigen der vorgeschlagenen Routenkonfigurationen;Buchen der Einzelverbindungen;Anfordern des insgesamt zu zahlenden Betrags;Bezahlen der Einzelverbindungen abzüglich Vermittlungsgebühr;Buchungsvorgang abbrechen;Bestätigen der Buchung der gewählten Routenkonfiguration;Suche passender Verbindungen;Task 1;Task 3;Task 2;Task 5;Task 4;Bearbeiten der Buchungsanfrage;Task 7;Task 8;Buchungsvorgang abbrechen;Bestätigen der Buchung;
Sammeln der Teilstrecken-Ergebnisse;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sammeln von Gesamtstreckenverbindungen;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Zusammensetzen von Routenkonfigurationen;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Sammeln möglicher Routenkonfigurationen;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Checken des Reiseprofils des Nutzenden;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Treffen der Vorauswahl  basierend auf Reiseprofil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Anzeigen der vorgeschlagenen Routenkonfigurationen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Buchen der Einzelverbindungen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Anfordern des insgesamt zu zahlenden Betrags;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bezahlen der Einzelverbindungen abzüglich Vermittlungsgebühr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Buchungsvorgang abbrechen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;
Bestätigen der Buchung der gewählten Routenkonfiguration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;
Suche passender Verbindungen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;
Task 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;
Task 3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;1;0;0;0;0;
Task 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;
Task 5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;
Task 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;
Bearbeiten der Buchungsanfrage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;-1;0;0;0;0;
Task 7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;0;
Task 8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;0;
Buchungsvorgang abbrechen;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0;
Bestätigen der Buchung;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1
